Geneset.Type	Geneset.ID	N.Geneset.Genes
Gene Ontology Biological Process	GO:0000002	27
Gene Ontology Biological Process	GO:0000003	1365
Gene Ontology Biological Process	GO:0000018	67
Gene Ontology Biological Process	GO:0000022	11
Gene Ontology Biological Process	GO:0000027	23
Gene Ontology Biological Process	GO:0000028	17
Gene Ontology Biological Process	GO:0000038	29
Gene Ontology Biological Process	GO:0000041	109
Gene Ontology Biological Process	GO:0000042	19
Gene Ontology Biological Process	GO:0000045	71
Gene Ontology Biological Process	GO:0000050	11
Gene Ontology Biological Process	GO:0000054	12
Gene Ontology Biological Process	GO:0000060	47
Gene Ontology Biological Process	GO:0000070	134
Gene Ontology Biological Process	GO:0000075	221
Gene Ontology Biological Process	GO:0000076	17
Gene Ontology Biological Process	GO:0000077	151
Gene Ontology Biological Process	GO:0000079	83
Gene Ontology Biological Process	GO:0000082	241
Gene Ontology Biological Process	GO:0000083	27
Gene Ontology Biological Process	GO:0000086	233
Gene Ontology Biological Process	GO:0000096	39
Gene Ontology Biological Process	GO:0000097	17
Gene Ontology Biological Process	GO:0000098	10
Gene Ontology Biological Process	GO:0000122	751
Gene Ontology Biological Process	GO:0000132	16
Gene Ontology Biological Process	GO:0000154	35
Gene Ontology Biological Process	GO:0000165	860
Gene Ontology Biological Process	GO:0000183	39
Gene Ontology Biological Process	GO:0000184	120
Gene Ontology Biological Process	GO:0000185	11
Gene Ontology Biological Process	GO:0000186	52
Gene Ontology Biological Process	GO:0000187	147
Gene Ontology Biological Process	GO:0000188	26
Gene Ontology Biological Process	GO:0000209	287
Gene Ontology Biological Process	GO:0000212	13
Gene Ontology Biological Process	GO:0000226	443
Gene Ontology Biological Process	GO:0000244	12
Gene Ontology Biological Process	GO:0000245	55
Gene Ontology Biological Process	GO:0000266	39
Gene Ontology Biological Process	GO:0000271	69
Gene Ontology Biological Process	GO:0000272	29
Gene Ontology Biological Process	GO:0000278	984
Gene Ontology Biological Process	GO:0000280	591
Gene Ontology Biological Process	GO:0000281	36
Gene Ontology Biological Process	GO:0000288	74
Gene Ontology Biological Process	GO:0000289	35
Gene Ontology Biological Process	GO:0000290	10
Gene Ontology Biological Process	GO:0000291	35
Gene Ontology Biological Process	GO:0000301	24
Gene Ontology Biological Process	GO:0000302	228
Gene Ontology Biological Process	GO:0000303	28
Gene Ontology Biological Process	GO:0000305	31
Gene Ontology Biological Process	GO:0000338	10
Gene Ontology Biological Process	GO:0000375	317
Gene Ontology Biological Process	GO:0000377	314
Gene Ontology Biological Process	GO:0000380	48
Gene Ontology Biological Process	GO:0000381	37
Gene Ontology Biological Process	GO:0000387	39
Gene Ontology Biological Process	GO:0000394	18
Gene Ontology Biological Process	GO:0000398	314
Gene Ontology Biological Process	GO:0000413	39
Gene Ontology Biological Process	GO:0000422	79
Gene Ontology Biological Process	GO:0000423	19
Gene Ontology Biological Process	GO:0000460	29
Gene Ontology Biological Process	GO:0000462	36
Gene Ontology Biological Process	GO:0000466	18
Gene Ontology Biological Process	GO:0000469	23
Gene Ontology Biological Process	GO:0000470	22
Gene Ontology Biological Process	GO:0000478	14
Gene Ontology Biological Process	GO:0000479	14
Gene Ontology Biological Process	GO:0000578	36
Gene Ontology Biological Process	GO:0000712	14
Gene Ontology Biological Process	GO:0000715	23
Gene Ontology Biological Process	GO:0000717	22
Gene Ontology Biological Process	GO:0000722	36
Gene Ontology Biological Process	GO:0000723	149
Gene Ontology Biological Process	GO:0000724	101
Gene Ontology Biological Process	GO:0000725	102
Gene Ontology Biological Process	GO:0000726	78
Gene Ontology Biological Process	GO:0000729	24
Gene Ontology Biological Process	GO:0000730	10
Gene Ontology Biological Process	GO:0000731	73
Gene Ontology Biological Process	GO:0000732	26
Gene Ontology Biological Process	GO:0000737	23
Gene Ontology Biological Process	GO:0000768	48
Gene Ontology Biological Process	GO:0000819	218
Gene Ontology Biological Process	GO:0000902	899
Gene Ontology Biological Process	GO:0000904	646
Gene Ontology Biological Process	GO:0000910	139
Gene Ontology Biological Process	GO:0000920	17
Gene Ontology Biological Process	GO:0000956	203
Gene Ontology Biological Process	GO:0000959	33
Gene Ontology Biological Process	GO:0000963	15
Gene Ontology Biological Process	GO:0001101	319
Gene Ontology Biological Process	GO:0001325	15
Gene Ontology Biological Process	GO:0001501	485
Gene Ontology Biological Process	GO:0001502	21
Gene Ontology Biological Process	GO:0001503	373
Gene Ontology Biological Process	GO:0001504	23
Gene Ontology Biological Process	GO:0001505	184
Gene Ontology Biological Process	GO:0001508	133
Gene Ontology Biological Process	GO:0001510	62
Gene Ontology Biological Process	GO:0001514	10
Gene Ontology Biological Process	GO:0001516	23
Gene Ontology Biological Process	GO:0001522	18
Gene Ontology Biological Process	GO:0001523	90
Gene Ontology Biological Process	GO:0001525	411
Gene Ontology Biological Process	GO:0001539	30
Gene Ontology Biological Process	GO:0001541	56
Gene Ontology Biological Process	GO:0001553	10
Gene Ontology Biological Process	GO:0001556	23
Gene Ontology Biological Process	GO:0001558	379
Gene Ontology Biological Process	GO:0001562	21
Gene Ontology Biological Process	GO:0001568	577
Gene Ontology Biological Process	GO:0001569	30
Gene Ontology Biological Process	GO:0001570	72
Gene Ontology Biological Process	GO:0001573	15
Gene Ontology Biological Process	GO:0001578	77
Gene Ontology Biological Process	GO:0001580	34
Gene Ontology Biological Process	GO:0001649	204
Gene Ontology Biological Process	GO:0001654	337
Gene Ontology Biological Process	GO:0001655	315
Gene Ontology Biological Process	GO:0001656	88
Gene Ontology Biological Process	GO:0001657	97
Gene Ontology Biological Process	GO:0001658	59
Gene Ontology Biological Process	GO:0001659	37
Gene Ontology Biological Process	GO:0001660	10
Gene Ontology Biological Process	GO:0001662	31
Gene Ontology Biological Process	GO:0001666	332
Gene Ontology Biological Process	GO:0001667	316
Gene Ontology Biological Process	GO:0001675	14
Gene Ontology Biological Process	GO:0001676	94
Gene Ontology Biological Process	GO:0001678	129
Gene Ontology Biological Process	GO:0001682	11
Gene Ontology Biological Process	GO:0001696	17
Gene Ontology Biological Process	GO:0001701	311
Gene Ontology Biological Process	GO:0001702	29
Gene Ontology Biological Process	GO:0001704	119
Gene Ontology Biological Process	GO:0001706	54
Gene Ontology Biological Process	GO:0001707	69
Gene Ontology Biological Process	GO:0001708	77
Gene Ontology Biological Process	GO:0001709	41
Gene Ontology Biological Process	GO:0001710	19
Gene Ontology Biological Process	GO:0001711	16
Gene Ontology Biological Process	GO:0001736	121
Gene Ontology Biological Process	GO:0001738	132
Gene Ontology Biological Process	GO:0001754	41
Gene Ontology Biological Process	GO:0001755	35
Gene Ontology Biological Process	GO:0001756	66
Gene Ontology Biological Process	GO:0001759	19
Gene Ontology Biological Process	GO:0001763	193
Gene Ontology Biological Process	GO:0001764	136
Gene Ontology Biological Process	GO:0001765	10
Gene Ontology Biological Process	GO:0001771	13
Gene Ontology Biological Process	GO:0001773	29
Gene Ontology Biological Process	GO:0001774	18
Gene Ontology Biological Process	GO:0001775	1342
Gene Ontology Biological Process	GO:0001776	83
Gene Ontology Biological Process	GO:0001779	20
Gene Ontology Biological Process	GO:0001780	13
Gene Ontology Biological Process	GO:0001782	28
Gene Ontology Biological Process	GO:0001783	23
Gene Ontology Biological Process	GO:0001787	12
Gene Ontology Biological Process	GO:0001816	644
Gene Ontology Biological Process	GO:0001817	584
Gene Ontology Biological Process	GO:0001818	222
Gene Ontology Biological Process	GO:0001819	391
Gene Ontology Biological Process	GO:0001820	11
Gene Ontology Biological Process	GO:0001821	10
Gene Ontology Biological Process	GO:0001822	265
Gene Ontology Biological Process	GO:0001823	102
Gene Ontology Biological Process	GO:0001824	60
Gene Ontology Biological Process	GO:0001825	29
Gene Ontology Biological Process	GO:0001829	14
Gene Ontology Biological Process	GO:0001832	17
Gene Ontology Biological Process	GO:0001833	11
Gene Ontology Biological Process	GO:0001836	56
Gene Ontology Biological Process	GO:0001837	125
Gene Ontology Biological Process	GO:0001838	120
Gene Ontology Biological Process	GO:0001840	10
Gene Ontology Biological Process	GO:0001841	100
Gene Ontology Biological Process	GO:0001843	85
Gene Ontology Biological Process	GO:0001844	31
Gene Ontology Biological Process	GO:0001845	11
Gene Ontology Biological Process	GO:0001867	10
Gene Ontology Biological Process	GO:0001881	33
Gene Ontology Biological Process	GO:0001885	54
Gene Ontology Biological Process	GO:0001886	10
Gene Ontology Biological Process	GO:0001889	130
Gene Ontology Biological Process	GO:0001890	145
Gene Ontology Biological Process	GO:0001892	88
Gene Ontology Biological Process	GO:0001893	32
Gene Ontology Biological Process	GO:0001894	202
Gene Ontology Biological Process	GO:0001895	70
Gene Ontology Biological Process	GO:0001906	107
Gene Ontology Biological Process	GO:0001909	82
Gene Ontology Biological Process	GO:0001910	51
Gene Ontology Biological Process	GO:0001911	13
Gene Ontology Biological Process	GO:0001912	33
Gene Ontology Biological Process	GO:0001913	29
Gene Ontology Biological Process	GO:0001914	22
Gene Ontology Biological Process	GO:0001916	15
Gene Ontology Biological Process	GO:0001919	23
Gene Ontology Biological Process	GO:0001921	14
Gene Ontology Biological Process	GO:0001932	1292
Gene Ontology Biological Process	GO:0001933	396
Gene Ontology Biological Process	GO:0001934	887
Gene Ontology Biological Process	GO:0001935	113
Gene Ontology Biological Process	GO:0001936	97
Gene Ontology Biological Process	GO:0001937	31
Gene Ontology Biological Process	GO:0001938	70
Gene Ontology Biological Process	GO:0001941	30
Gene Ontology Biological Process	GO:0001942	87
Gene Ontology Biological Process	GO:0001944	600
Gene Ontology Biological Process	GO:0001945	24
Gene Ontology Biological Process	GO:0001946	16
Gene Ontology Biological Process	GO:0001947	58
Gene Ontology Biological Process	GO:0001952	96
Gene Ontology Biological Process	GO:0001953	30
Gene Ontology Biological Process	GO:0001954	45
Gene Ontology Biological Process	GO:0001956	12
Gene Ontology Biological Process	GO:0001958	27
Gene Ontology Biological Process	GO:0001959	145
Gene Ontology Biological Process	GO:0001960	43
Gene Ontology Biological Process	GO:0001961	35
Gene Ontology Biological Process	GO:0001963	31
Gene Ontology Biological Process	GO:0001964	26
Gene Ontology Biological Process	GO:0001967	13
Gene Ontology Biological Process	GO:0001973	12
Gene Ontology Biological Process	GO:0001974	42
Gene Ontology Biological Process	GO:0001975	27
Gene Ontology Biological Process	GO:0001976	13
Gene Ontology Biological Process	GO:0001977	17
Gene Ontology Biological Process	GO:0001990	38
Gene Ontology Biological Process	GO:0001991	19
Gene Ontology Biological Process	GO:0002002	13
Gene Ontology Biological Process	GO:0002003	12
Gene Ontology Biological Process	GO:0002009	514
Gene Ontology Biological Process	GO:0002011	51
Gene Ontology Biological Process	GO:0002021	22
Gene Ontology Biological Process	GO:0002026	28
Gene Ontology Biological Process	GO:0002027	90
Gene Ontology Biological Process	GO:0002028	83
Gene Ontology Biological Process	GO:0002029	15
Gene Ontology Biological Process	GO:0002031	12
Gene Ontology Biological Process	GO:0002040	69
Gene Ontology Biological Process	GO:0002042	33
Gene Ontology Biological Process	GO:0002043	11
Gene Ontology Biological Process	GO:0002052	20
Gene Ontology Biological Process	GO:0002053	27
Gene Ontology Biological Process	GO:0002062	96
Gene Ontology Biological Process	GO:0002063	26
Gene Ontology Biological Process	GO:0002064	194
Gene Ontology Biological Process	GO:0002065	104
Gene Ontology Biological Process	GO:0002066	54
Gene Ontology Biological Process	GO:0002067	46
Gene Ontology Biological Process	GO:0002068	24
Gene Ontology Biological Process	GO:0002070	14
Gene Ontology Biological Process	GO:0002076	18
Gene Ontology Biological Process	GO:0002082	17
Gene Ontology Biological Process	GO:0002087	13
Gene Ontology Biological Process	GO:0002088	66
Gene Ontology Biological Process	GO:0002089	20
Gene Ontology Biological Process	GO:0002090	34
Gene Ontology Biological Process	GO:0002092	22
Gene Ontology Biological Process	GO:0002093	13
Gene Ontology Biological Process	GO:0002097	13
Gene Ontology Biological Process	GO:0002115	13
Gene Ontology Biological Process	GO:0002181	48
Gene Ontology Biological Process	GO:0002183	22
Gene Ontology Biological Process	GO:0002190	15
Gene Ontology Biological Process	GO:0002192	12
Gene Ontology Biological Process	GO:0002200	64
Gene Ontology Biological Process	GO:0002204	41
Gene Ontology Biological Process	GO:0002208	41
Gene Ontology Biological Process	GO:0002209	31
Gene Ontology Biological Process	GO:0002218	284
Gene Ontology Biological Process	GO:0002220	126
Gene Ontology Biological Process	GO:0002221	173
Gene Ontology Biological Process	GO:0002223	124
Gene Ontology Biological Process	GO:0002224	130
Gene Ontology Biological Process	GO:0002227	22
Gene Ontology Biological Process	GO:0002228	58
Gene Ontology Biological Process	GO:0002230	19
Gene Ontology Biological Process	GO:0002237	319
Gene Ontology Biological Process	GO:0002244	96
Gene Ontology Biological Process	GO:0002250	468
Gene Ontology Biological Process	GO:0002251	33
Gene Ontology Biological Process	GO:0002252	1169
Gene Ontology Biological Process	GO:0002253	611
Gene Ontology Biological Process	GO:0002260	63
Gene Ontology Biological Process	GO:0002262	126
Gene Ontology Biological Process	GO:0002263	677
Gene Ontology Biological Process	GO:0002274	611
Gene Ontology Biological Process	GO:0002275	535
Gene Ontology Biological Process	GO:0002279	45
Gene Ontology Biological Process	GO:0002283	485
Gene Ontology Biological Process	GO:0002285	156
Gene Ontology Biological Process	GO:0002286	92
Gene Ontology Biological Process	GO:0002287	53
Gene Ontology Biological Process	GO:0002292	59
Gene Ontology Biological Process	GO:0002293	53
Gene Ontology Biological Process	GO:0002294	52
Gene Ontology Biological Process	GO:0002295	15
Gene Ontology Biological Process	GO:0002312	64
Gene Ontology Biological Process	GO:0002313	17
Gene Ontology Biological Process	GO:0002320	19
Gene Ontology Biological Process	GO:0002323	30
Gene Ontology Biological Process	GO:0002328	10
Gene Ontology Biological Process	GO:0002335	21
Gene Ontology Biological Process	GO:0002347	17
Gene Ontology Biological Process	GO:0002360	24
Gene Ontology Biological Process	GO:0002363	17
Gene Ontology Biological Process	GO:0002366	675
Gene Ontology Biological Process	GO:0002367	78
Gene Ontology Biological Process	GO:0002369	29
Gene Ontology Biological Process	GO:0002374	17
Gene Ontology Biological Process	GO:0002376	2798
Gene Ontology Biological Process	GO:0002377	132
Gene Ontology Biological Process	GO:0002381	47
Gene Ontology Biological Process	GO:0002385	31
Gene Ontology Biological Process	GO:0002407	25
Gene Ontology Biological Process	GO:0002418	14
Gene Ontology Biological Process	GO:0002429	414
Gene Ontology Biological Process	GO:0002430	12
Gene Ontology Biological Process	GO:0002431	136
Gene Ontology Biological Process	GO:0002433	130
Gene Ontology Biological Process	GO:0002437	42
Gene Ontology Biological Process	GO:0002438	21
Gene Ontology Biological Process	GO:0002440	204
Gene Ontology Biological Process	GO:0002443	817
Gene Ontology Biological Process	GO:0002444	540
Gene Ontology Biological Process	GO:0002446	498
Gene Ontology Biological Process	GO:0002448	47
Gene Ontology Biological Process	GO:0002449	300
Gene Ontology Biological Process	GO:0002455	128
Gene Ontology Biological Process	GO:0002456	77
Gene Ontology Biological Process	GO:0002460	301
Gene Ontology Biological Process	GO:0002467	15
Gene Ontology Biological Process	GO:0002474	95
Gene Ontology Biological Process	GO:0002475	10
Gene Ontology Biological Process	GO:0002478	169
Gene Ontology Biological Process	GO:0002479	76
Gene Ontology Biological Process	GO:0002495	95
Gene Ontology Biological Process	GO:0002504	96
Gene Ontology Biological Process	GO:0002507	25
Gene Ontology Biological Process	GO:0002517	13
Gene Ontology Biological Process	GO:0002520	803
Gene Ontology Biological Process	GO:0002521	464
Gene Ontology Biological Process	GO:0002523	14
Gene Ontology Biological Process	GO:0002526	132
Gene Ontology Biological Process	GO:0002532	46
Gene Ontology Biological Process	GO:0002534	27
Gene Ontology Biological Process	GO:0002544	22
Gene Ontology Biological Process	GO:0002548	59
Gene Ontology Biological Process	GO:0002551	12
Gene Ontology Biological Process	GO:0002562	54
Gene Ontology Biological Process	GO:0002566	16
Gene Ontology Biological Process	GO:0002573	185
Gene Ontology Biological Process	GO:0002576	130
Gene Ontology Biological Process	GO:0002577	16
Gene Ontology Biological Process	GO:0002637	52
Gene Ontology Biological Process	GO:0002639	36
Gene Ontology Biological Process	GO:0002643	17
Gene Ontology Biological Process	GO:0002664	11
Gene Ontology Biological Process	GO:0002673	71
Gene Ontology Biological Process	GO:0002674	13
Gene Ontology Biological Process	GO:0002675	27
Gene Ontology Biological Process	GO:0002676	11
Gene Ontology Biological Process	GO:0002682	1421
Gene Ontology Biological Process	GO:0002683	382
Gene Ontology Biological Process	GO:0002684	1012
Gene Ontology Biological Process	GO:0002685	158
Gene Ontology Biological Process	GO:0002686	33
Gene Ontology Biological Process	GO:0002687	115
Gene Ontology Biological Process	GO:0002688	103
Gene Ontology Biological Process	GO:0002689	14
Gene Ontology Biological Process	GO:0002690	86
Gene Ontology Biological Process	GO:0002691	23
Gene Ontology Biological Process	GO:0002693	13
Gene Ontology Biological Process	GO:0002694	489
Gene Ontology Biological Process	GO:0002695	145
Gene Ontology Biological Process	GO:0002696	327
Gene Ontology Biological Process	GO:0002697	328
Gene Ontology Biological Process	GO:0002698	104
Gene Ontology Biological Process	GO:0002699	164
Gene Ontology Biological Process	GO:0002700	111
Gene Ontology Biological Process	GO:0002701	30
Gene Ontology Biological Process	GO:0002702	73
Gene Ontology Biological Process	GO:0002703	155
Gene Ontology Biological Process	GO:0002704	44
Gene Ontology Biological Process	GO:0002705	89
Gene Ontology Biological Process	GO:0002706	118
Gene Ontology Biological Process	GO:0002707	33
Gene Ontology Biological Process	GO:0002708	75
Gene Ontology Biological Process	GO:0002709	52
Gene Ontology Biological Process	GO:0002710	16
Gene Ontology Biological Process	GO:0002711	32
Gene Ontology Biological Process	GO:0002712	45
Gene Ontology Biological Process	GO:0002714	32
Gene Ontology Biological Process	GO:0002715	34
Gene Ontology Biological Process	GO:0002716	11
Gene Ontology Biological Process	GO:0002717	21
Gene Ontology Biological Process	GO:0002718	63
Gene Ontology Biological Process	GO:0002719	23
Gene Ontology Biological Process	GO:0002720	35
Gene Ontology Biological Process	GO:0002724	22
Gene Ontology Biological Process	GO:0002726	14
Gene Ontology Biological Process	GO:0002739	14
Gene Ontology Biological Process	GO:0002753	57
Gene Ontology Biological Process	GO:0002755	36
Gene Ontology Biological Process	GO:0002756	33
Gene Ontology Biological Process	GO:0002757	558
Gene Ontology Biological Process	GO:0002758	277
Gene Ontology Biological Process	GO:0002761	110
Gene Ontology Biological Process	GO:0002762	44
Gene Ontology Biological Process	GO:0002763	50
Gene Ontology Biological Process	GO:0002764	591
Gene Ontology Biological Process	GO:0002768	446
Gene Ontology Biological Process	GO:0002790	520
Gene Ontology Biological Process	GO:0002791	419
Gene Ontology Biological Process	GO:0002792	112
Gene Ontology Biological Process	GO:0002793	235
Gene Ontology Biological Process	GO:0002819	130
Gene Ontology Biological Process	GO:0002820	38
Gene Ontology Biological Process	GO:0002821	80
Gene Ontology Biological Process	GO:0002822	119
Gene Ontology Biological Process	GO:0002823	35
Gene Ontology Biological Process	GO:0002824	76
Gene Ontology Biological Process	GO:0002825	22
Gene Ontology Biological Process	GO:0002827	15
Gene Ontology Biological Process	GO:0002828	27
Gene Ontology Biological Process	GO:0002829	11
Gene Ontology Biological Process	GO:0002830	15
Gene Ontology Biological Process	GO:0002831	139
Gene Ontology Biological Process	GO:0002832	37
Gene Ontology Biological Process	GO:0002833	40
Gene Ontology Biological Process	GO:0002834	12
Gene Ontology Biological Process	GO:0002837	12
Gene Ontology Biological Process	GO:0002861	22
Gene Ontology Biological Process	GO:0002862	11
Gene Ontology Biological Process	GO:0002863	11
Gene Ontology Biological Process	GO:0002864	13
Gene Ontology Biological Process	GO:0002886	38
Gene Ontology Biological Process	GO:0002887	10
Gene Ontology Biological Process	GO:0002888	18
Gene Ontology Biological Process	GO:0002889	45
Gene Ontology Biological Process	GO:0002891	32
Gene Ontology Biological Process	GO:0002902	18
Gene Ontology Biological Process	GO:0002903	12
Gene Ontology Biological Process	GO:0002920	50
Gene Ontology Biological Process	GO:0002921	11
Gene Ontology Biological Process	GO:0002922	16
Gene Ontology Biological Process	GO:0002931	33
Gene Ontology Biological Process	GO:0002934	10
Gene Ontology Biological Process	GO:0003002	331
Gene Ontology Biological Process	GO:0003006	630
Gene Ontology Biological Process	GO:0003007	230
Gene Ontology Biological Process	GO:0003008	1998
Gene Ontology Biological Process	GO:0003009	37
Gene Ontology Biological Process	GO:0003012	402
Gene Ontology Biological Process	GO:0003013	500
Gene Ontology Biological Process	GO:0003014	112
Gene Ontology Biological Process	GO:0003015	262
Gene Ontology Biological Process	GO:0003016	31
Gene Ontology Biological Process	GO:0003018	154
Gene Ontology Biological Process	GO:0003044	48
Gene Ontology Biological Process	GO:0003071	24
Gene Ontology Biological Process	GO:0003073	85
Gene Ontology Biological Process	GO:0003081	25
Gene Ontology Biological Process	GO:0003084	10
Gene Ontology Biological Process	GO:0003085	14
Gene Ontology Biological Process	GO:0003091	35
Gene Ontology Biological Process	GO:0003093	12
Gene Ontology Biological Process	GO:0003094	21
Gene Ontology Biological Process	GO:0003128	10
Gene Ontology Biological Process	GO:0003143	64
Gene Ontology Biological Process	GO:0003148	22
Gene Ontology Biological Process	GO:0003149	10
Gene Ontology Biological Process	GO:0003151	69
Gene Ontology Biological Process	GO:0003156	33
Gene Ontology Biological Process	GO:0003157	11
Gene Ontology Biological Process	GO:0003158	111
Gene Ontology Biological Process	GO:0003159	15
Gene Ontology Biological Process	GO:0003161	13
Gene Ontology Biological Process	GO:0003170	39
Gene Ontology Biological Process	GO:0003171	24
Gene Ontology Biological Process	GO:0003174	11
Gene Ontology Biological Process	GO:0003177	12
Gene Ontology Biological Process	GO:0003179	35
Gene Ontology Biological Process	GO:0003181	21
Gene Ontology Biological Process	GO:0003183	10
Gene Ontology Biological Process	GO:0003184	12
Gene Ontology Biological Process	GO:0003188	14
Gene Ontology Biological Process	GO:0003197	39
Gene Ontology Biological Process	GO:0003198	17
Gene Ontology Biological Process	GO:0003203	29
Gene Ontology Biological Process	GO:0003205	155
Gene Ontology Biological Process	GO:0003206	119
Gene Ontology Biological Process	GO:0003207	12
Gene Ontology Biological Process	GO:0003208	71
Gene Ontology Biological Process	GO:0003209	31
Gene Ontology Biological Process	GO:0003211	10
Gene Ontology Biological Process	GO:0003214	14
Gene Ontology Biological Process	GO:0003215	19
Gene Ontology Biological Process	GO:0003222	16
Gene Ontology Biological Process	GO:0003229	52
Gene Ontology Biological Process	GO:0003230	35
Gene Ontology Biological Process	GO:0003231	117
Gene Ontology Biological Process	GO:0003254	42
Gene Ontology Biological Process	GO:0003264	10
Gene Ontology Biological Process	GO:0003272	22
Gene Ontology Biological Process	GO:0003279	96
Gene Ontology Biological Process	GO:0003281	63
Gene Ontology Biological Process	GO:0003283	20
Gene Ontology Biological Process	GO:0003298	19
Gene Ontology Biological Process	GO:0003299	19
Gene Ontology Biological Process	GO:0003300	66
Gene Ontology Biological Process	GO:0003301	19
Gene Ontology Biological Process	GO:0003306	10
Gene Ontology Biological Process	GO:0003309	23
Gene Ontology Biological Process	GO:0003323	19
Gene Ontology Biological Process	GO:0003333	69
Gene Ontology Biological Process	GO:0003334	12
Gene Ontology Biological Process	GO:0003337	13
Gene Ontology Biological Process	GO:0003338	33
Gene Ontology Biological Process	GO:0003341	61
Gene Ontology Biological Process	GO:0003351	20
Gene Ontology Biological Process	GO:0003352	12
Gene Ontology Biological Process	GO:0003356	11
Gene Ontology Biological Process	GO:0003376	12
Gene Ontology Biological Process	GO:0003382	29
Gene Ontology Biological Process	GO:0003401	31
Gene Ontology Biological Process	GO:0003407	57
Gene Ontology Biological Process	GO:0003413	10
Gene Ontology Biological Process	GO:0003416	21
Gene Ontology Biological Process	GO:0003417	15
Gene Ontology Biological Process	GO:0005513	13
Gene Ontology Biological Process	GO:0005975	569
Gene Ontology Biological Process	GO:0005976	103
Gene Ontology Biological Process	GO:0005977	75
Gene Ontology Biological Process	GO:0005978	47
Gene Ontology Biological Process	GO:0005979	27
Gene Ontology Biological Process	GO:0005980	26
Gene Ontology Biological Process	GO:0005984	10
Gene Ontology Biological Process	GO:0005996	273
Gene Ontology Biological Process	GO:0006000	15
Gene Ontology Biological Process	GO:0006004	16
Gene Ontology Biological Process	GO:0006006	194
Gene Ontology Biological Process	GO:0006007	31
Gene Ontology Biological Process	GO:0006012	12
Gene Ontology Biological Process	GO:0006020	11
Gene Ontology Biological Process	GO:0006022	167
Gene Ontology Biological Process	GO:0006023	114
Gene Ontology Biological Process	GO:0006024	113
Gene Ontology Biological Process	GO:0006026	64
Gene Ontology Biological Process	GO:0006027	61
Gene Ontology Biological Process	GO:0006029	84
Gene Ontology Biological Process	GO:0006040	35
Gene Ontology Biological Process	GO:0006044	16
Gene Ontology Biological Process	GO:0006047	14
Gene Ontology Biological Process	GO:0006063	22
Gene Ontology Biological Process	GO:0006066	295
Gene Ontology Biological Process	GO:0006067	21
Gene Ontology Biological Process	GO:0006068	12
Gene Ontology Biological Process	GO:0006069	12
Gene Ontology Biological Process	GO:0006071	17
Gene Ontology Biological Process	GO:0006073	76
Gene Ontology Biological Process	GO:0006081	94
Gene Ontology Biological Process	GO:0006082	1071
Gene Ontology Biological Process	GO:0006084	34
Gene Ontology Biological Process	GO:0006085	20
Gene Ontology Biological Process	GO:0006086	15
Gene Ontology Biological Process	GO:0006089	13
Gene Ontology Biological Process	GO:0006090	104
Gene Ontology Biological Process	GO:0006091	355
Gene Ontology Biological Process	GO:0006094	79
Gene Ontology Biological Process	GO:0006096	68
Gene Ontology Biological Process	GO:0006098	18
Gene Ontology Biological Process	GO:0006099	30
Gene Ontology Biological Process	GO:0006101	34
Gene Ontology Biological Process	GO:0006103	17
Gene Ontology Biological Process	GO:0006105	11
Gene Ontology Biological Process	GO:0006107	12
Gene Ontology Biological Process	GO:0006109	145
Gene Ontology Biological Process	GO:0006110	33
Gene Ontology Biological Process	GO:0006111	37
Gene Ontology Biological Process	GO:0006112	89
Gene Ontology Biological Process	GO:0006119	103
Gene Ontology Biological Process	GO:0006120	46
Gene Ontology Biological Process	GO:0006122	14
Gene Ontology Biological Process	GO:0006123	17
Gene Ontology Biological Process	GO:0006139	5744
Gene Ontology Biological Process	GO:0006140	225
Gene Ontology Biological Process	GO:0006144	20
Gene Ontology Biological Process	GO:0006163	536
Gene Ontology Biological Process	GO:0006164	251
Gene Ontology Biological Process	GO:0006165	86
Gene Ontology Biological Process	GO:0006171	125
Gene Ontology Biological Process	GO:0006182	41
Gene Ontology Biological Process	GO:0006183	12
Gene Ontology Biological Process	GO:0006188	10
Gene Ontology Biological Process	GO:0006195	47
Gene Ontology Biological Process	GO:0006198	19
Gene Ontology Biological Process	GO:0006206	19
Gene Ontology Biological Process	GO:0006213	51
Gene Ontology Biological Process	GO:0006220	46
Gene Ontology Biological Process	GO:0006221	31
Gene Ontology Biological Process	GO:0006222	10
Gene Ontology Biological Process	GO:0006228	11
Gene Ontology Biological Process	GO:0006241	15
Gene Ontology Biological Process	GO:0006244	12
Gene Ontology Biological Process	GO:0006259	976
Gene Ontology Biological Process	GO:0006260	291
Gene Ontology Biological Process	GO:0006261	138
Gene Ontology Biological Process	GO:0006264	12
Gene Ontology Biological Process	GO:0006266	24
Gene Ontology Biological Process	GO:0006270	39
Gene Ontology Biological Process	GO:0006271	16
Gene Ontology Biological Process	GO:0006275	115
Gene Ontology Biological Process	GO:0006278	70
Gene Ontology Biological Process	GO:0006281	522
Gene Ontology Biological Process	GO:0006282	83
Gene Ontology Biological Process	GO:0006283	73
Gene Ontology Biological Process	GO:0006284	41
Gene Ontology Biological Process	GO:0006285	10
Gene Ontology Biological Process	GO:0006289	115
Gene Ontology Biological Process	GO:0006293	21
Gene Ontology Biological Process	GO:0006294	29
Gene Ontology Biological Process	GO:0006295	21
Gene Ontology Biological Process	GO:0006296	37
Gene Ontology Biological Process	GO:0006297	23
Gene Ontology Biological Process	GO:0006298	36
