"rndall" "rndlen" "rndloc" "rndbinall" "rndbinlen" "rndbinloc"
"1" 8.97409318377647e-05 0.00016291457214505 9.33327950787804e-08 7.32799600659746e-07 5.7928154907402e-21 2.70478636968799e-09
"2" 0.000235769695751622 0.00027955535384924 1.82911194218529e-07 1.01230771499225e-06 2.33416430674757e-19 4.24114317229024e-08
"3" 0.000411056729749216 0.00054175874660625 4.29367901638674e-07 2.00068181099194e-06 4.13380398571121e-16 1.1562787559806e-07
"4" 0.000532088965265848 0.000637434817811845 9.02362370145592e-07 2.24483615578798e-06 4.52462015585687e-16 1.99494198049819e-07
"5" 0.000752350321683392 0.000844679277724981 1.92937343391388e-06 5.55820740555012e-06 4.25048764644884e-15 2.56837137554518e-07
"6" 0.00108468962591957 0.000912754024614641 6.42252349386783e-06 9.16255912845302e-06 1.17212905511276e-13 3.82531208343422e-07
"7" 0.001323175475921 0.00112564028378185 7.44177227723591e-06 1.57783883678149e-05 6.06287429041345e-13 3.94026681840266e-07
"8" 0.0014253442458746 0.00127219090436658 1.46435152405563e-05 1.80722232833598e-05 1.73328725201068e-12 4.81371804574368e-07
"9" 0.00155899450720912 0.00134477186094579 2.79055395318283e-05 2.04857004299395e-05 2.5219367365269e-12 7.24381469551346e-07
"10" 0.00166786224516887 0.00166256490650937 4.24323789807783e-05 2.13162933421914e-05 5.40032237598062e-12 7.63155777453126e-07
"11" 0.00191332480803383 0.00190309160148992 7.011122989828e-05 2.73350729337254e-05 2.27217417755371e-11 8.22895676455587e-07
"12" 0.00203536206640628 0.00211200402158176 0.000126474212106483 3.51348491454325e-05 3.3147094419567e-11 1.27271804034074e-06
"13" 0.00221904194184246 0.00223096642213593 0.000139905171397608 3.62209505307614e-05 4.25218209700858e-11 1.48298760362805e-06
"14" 0.00228019156114313 0.00227887071325935 0.000175523054177519 4.02176067758226e-05 5.20108325899373e-11 2.58979826509999e-06
"15" 0.00254370937725984 0.00233206167770431 0.000299419464217165 4.23826385954444e-05 5.3746257123819e-11 3.57415765762072e-06
"16" 0.00259083751611866 0.00246129746870739 0.000410962390470489 4.56095354253425e-05 7.81549505441016e-11 4.60614850796694e-06
"17" 0.00273014672019827 0.00270821886052712 0.000548845853096668 5.01609831564192e-05 1.35733821335292e-10 4.73054754233351e-06
"18" 0.00279304707180838 0.00280319972769189 0.000675275268446942 5.61660059298644e-05 1.69489973606503e-10 6.52650732879004e-06
"19" 0.00317430874203705 0.00287468910552036 0.000742505744926971 6.61777958077553e-05 2.12755135730492e-10 7.50427447817396e-06
"20" 0.00324128486967784 0.00304172558477346 0.000807139741933802 8.10739774426249e-05 3.22354668109934e-10 8.52682066517037e-06
"21" 0.00337384303802062 0.00319572479579998 0.00103187269414881 8.99437938084695e-05 5.77595520680223e-10 9.2395209903346e-06
