"rndall" "rndlen" "rndloc" "rndbinall" "rndbinlen" "rndbinloc"
"1" 0.00023721084877495 0.000151887947001039 3.38965457327212e-07 1.20791650050318e-12 6.27136929182106e-28 2.52867003832516e-14
"2" 0.000407146954944493 0.00019578796971809 1.34049010119146e-06 9.13522606020869e-11 8.34728739435021e-25 5.01300165899792e-14
"3" 0.000565065665725216 0.000240823990923199 2.52190181192109e-06 1.95495524279981e-10 6.37002441176075e-23 9.9290470606747e-14
"4" 0.000667325853998896 0.000345348477769033 5.54870365891619e-06 6.31592577296955e-10 1.1204943653139e-20 3.18597280113313e-13
"5" 0.000792402041877531 0.000469166196468446 6.47482674113473e-06 1.1019104233775e-09 2.32722444364265e-19 2.37123561202108e-12
"6" 0.000921108687323578 0.000546454124414852 2.28316687918678e-05 1.14959289744647e-09 5.11800598099278e-19 3.95299931202155e-12
"7" 0.00104353538624923 0.000674064679055957 3.60569142480614e-05 1.98306191439169e-09 1.01003809589718e-18 3.3621293060964e-11
"8" 0.00110920660886454 0.000843465926143704 5.71479672033015e-05 4.22753139578903e-09 2.20444437267864e-18 3.99172101035931e-11
"9" 0.00130576278660261 0.00124316176696423 8.49549000231689e-05 6.0335435072337e-09 8.38027918193285e-18 2.00267677802357e-10
"10" 0.00138270131850327 0.00133064313365425 0.000119144668342895 8.28751035470902e-09 2.03775677545471e-17 2.10092270877416e-10
"11" 0.00147098244027236 0.00150960131183511 0.000129877346408323 2.03261630075224e-08 5.07652418043971e-17 2.76957155664609e-10
"12" 0.0015684117912924 0.00168480137593427 0.000176188842554222 2.30757624565902e-08 6.48808573965568e-17 2.93469709367199e-10
"13" 0.00180735447340208 0.0017795701388841 0.000213780604509632 2.78404751949832e-08 3.37688736298194e-16 3.61422765135566e-10
"14" 0.00201783045698774 0.00190499271595003 0.000260506339367247 3.53586296926847e-08 1.48729833989967e-15 4.83036188623036e-10
"15" 0.00203895544864943 0.00215226245895245 0.000319426110174035 4.34889776083444e-08 1.92176570612995e-15 9.25456774490046e-10
"16" 0.00228894309794658 0.00225427392035236 0.000466906349579176 4.74432462047315e-08 4.65106977555827e-15 1.18050208975668e-09
"17" 0.0024204340975452 0.00231113082199172 0.000564305103409659 5.19248314578974e-08 8.13911654889107e-15 1.65376247582818e-09
"18" 0.00248330649508723 0.00262997075989242 0.000683075182475874 6.43922307681506e-08 2.40684557710448e-14 2.83259942637793e-09
"19" 0.00259194528667961 0.00284543090494785 0.000758217026841487 7.02216202662403e-08 3.32443910702157e-14 3.59282602573873e-09
"20" 0.00261621019883306 0.00316393956396546 0.000891849808933685 7.4838503603987e-08 3.72881454783518e-14 4.68818532397797e-09
"21" 0.00282954360571711 0.00326779490608048 0.00092630856722568 8.96653247201603e-08 5.64860930671337e-14 7.3432497422319e-09
"22" 0.00314861495084372 0.00340504272891083 0.000959480019862853 9.06221922614564e-08 1.23075859621745e-13 1.23992756436082e-08
"23" 0.00333269874723773 0.00370344003244037 0.000996642335307164 1.09600540515505e-07 1.48898582973739e-13 1.50250297397471e-08
"24" 0.00378707739184295 0.00389424132579792 0.00105832530264619 1.48279342050602e-07 3.02494586786665e-13 1.80605445573331e-08
"25" 0.00386349826158346 0.00394692685885939 0.00110375595349287 1.70879553213027e-07 8.10544579624614e-13 2.54849975735746e-08
"26" 0.00413479866712189 0.0042461340171743 0.00114050721461086 1.88658509746188e-07 1.66210516068219e-12 3.46642996334526e-08
"27" 0.00431031522992127 0.0042924801959962 0.00127432479996249 2.09249778248122e-07 3.29182681583078e-12 3.56579489617192e-08
"28" 0.00433243459480829 0.00441958466409907 0.00132440122346794 2.19678705808694e-07 3.56489286378034e-12 4.28611137322171e-08
"29" 0.00444038317069573 0.00459965940738461 0.00136003000143152 2.63066947221763e-07 4.99049003346898e-12 4.77659659751942e-08
"30" 0.00456338655684901 0.00484995353550205 0.00141439533484807 2.80019320598664e-07 6.18515191898479e-12 6.74674514026112e-08
"31" 0.00468683729883764 0.00520631093422968 0.00145427360140854 2.95864323278737e-07 7.49081838088832e-12 7.54769505618703e-08
"32" 0.00477932518599154 0.00529350401688664 0.0015341219240121 3.46370678756945e-07 8.6856112051372e-12 8.16933133420746e-08
"33" 0.00490376742769166 0.00549785267100804 0.00163019794472177 3.51213179918087e-07 1.09828246898542e-11 8.46156268147466e-08
"34" 0.00505262733515384 0.00560109324535286 0.00165126095766981 3.55749630715694e-07 1.40298616903276e-11 1.0135358951961e-07
"35" 0.00546652841034557 0.00580389111446788 0.00205108041902587 3.6980530130221e-07 1.84035405431857e-11 1.22675224966283e-07
"36" 0.00565766108550789 0.00582342583581674 0.00212034197323824 4.79512801150079e-07 2.2838058812323e-11 1.29765955289621e-07
"37" 0.00588521417349402 0.00590631304088904 0.00224826951012302 5.55816703054435e-07 3.34010347572712e-11 1.68076289364122e-07
"38" 0.00595947675533051 0.00607603251304695 0.00246593076446228 5.92267555782434e-07 5.45615794568463e-11 1.79546945792675e-07
"39" 0.00617520104751529 0.00620704876280545 0.00257628933022081 5.95439541773905e-07 6.12014207565428e-11 2.03110971439159e-07
"40" 0.00637917890803613 0.00646931392385046 0.00262162536597281 6.67680499265269e-07 6.96896111883141e-11 2.23241155298443e-07
"41" 0.00665184053370362 0.00659909340761606 0.00270508369647349 7.29140756229252e-07 8.16778825514664e-11 2.48745308860981e-07
"42" 0.00672672110804776 0.00668275894167893 0.00275553079531872 7.46826961276438e-07 8.93894673266493e-11 2.6177994304139e-07
"43" 0.00709112021447801 0.00681659229066746 0.0031029866312754 9.80368936491088e-07 1.12537156427928e-10 2.83226255007153e-07
"44" 0.00743918934900117 0.0068353227572205 0.00318182704126891 1.10720287708332e-06 1.19433648367335e-10 3.07049561872068e-07
"45" 0.00752665157269932 0.006849866130603 0.00319455465768522 1.15310019504442e-06 1.21263965245333e-10 3.22633113945581e-07
"46" 0.00761357236761384 0.00690939812149814 0.00322032462082648 1.31452864909863e-06 1.24983967862489e-10 3.32224767424105e-07
"47" 0.00771560616825966 0.00697386133998563 0.00332554751801426 1.37019983473281e-06 1.59886076439171e-10 3.66639854559571e-07
"48" 0.00793807066520297 0.00700492003984021 0.00341187622246956 1.48489075478668e-06 1.77294294324827e-10 4.0385615560576e-07
"49" 0.00806472352052113 0.00714448993315198 0.00342117196189718 1.56049274524425e-06 2.27405042719665e-10 4.17308297010055e-07
"50" 0.00850633630509309 0.00719936743232568 0.00351300668034108 1.68426486811873e-06 2.57688689381921e-10 4.42199997234535e-07
"51" 0.0089547928339486 0.00736568436772911 0.00362869784016367 1.83039595130291e-06 3.23363502802957e-10 4.70579189669297e-07
"52" 0.00909033482339291 0.00757785005015044 0.00387451956855729 1.95664434770531e-06 4.29836043411257e-10 5.89374335509698e-07
"53" 0.00911748733880718 0.00762658404794236 0.00401623688860541 2.11397478280613e-06 4.62519146224766e-10 6.06641308668696e-07
"54" 0.00918984362744435 0.00768340682441545 0.00422104925219804 2.1647027416713e-06 5.49421658419489e-10 7.0027732496751e-07
"55" 0.00930823647095786 0.00771689606628079 0.00459803625061219 2.23089594956151e-06 5.72456092708682e-10 7.48331283722957e-07
"56" 0.00946132063831354 0.00806562749909985 0.0046781049339683 2.30055068050554e-06 6.06958706791753e-10 7.59243658817691e-07
"57" 0.00956588809879362 0.00819504328837182 0.00472663050457964 2.54137748140819e-06 7.44791810151017e-10 7.93778008754764e-07
"58" 0.00993657082177626 0.00839303348666499 0.0047811431422175 3.07572797593117e-06 8.61267349902493e-10 8.11024666141346e-07
"59" 0.0100371567912069 0.00862862936482464 0.00483170857651628 3.47838940246016e-06 9.60820320546563e-10 8.82225650469088e-07
"60" 0.0102128263324985 0.00864316376035396 0.00503062313991101 3.76049352797316e-06 1.02206507231617e-09 9.14340982134875e-07
"61" 0.0104955585347526 0.00867716809717177 0.0050495550226352 4.00737894289325e-06 1.02425541670512e-09 9.96386689521247e-07
"62" 0.0105641086603998 0.00887994903894859 0.00517851667732843 4.36046816059719e-06 1.11633362372502e-09 1.02322510602105e-06
"63" 0.0107972785275019 0.0090561741095508 0.00531798237091617 4.42482692638111e-06 1.18769806327357e-09 1.03720766603305e-06
"64" 0.0109916698620872 0.0091528460769191 0.00533077012006712 4.87885320700823e-06 1.43954809424126e-09 1.08459544801674e-06
"65" 0.0111968920130416 0.00928464692471813 0.00547428153676926 5.25932962051378e-06 1.75975078269322e-09 1.13598165074772e-06
"66" 0.0113759911058495 0.00935170724204982 0.00569400394660226 5.42578836853216e-06 2.14588494379657e-09 1.1619672890293e-06
"67" 0.0113841583532499 0.00949299645316763 0.00572649025538929 5.62768714575839e-06 2.57136957870301e-09 1.27384550187806e-06
"68" 0.0116788657166771 0.00957224341304061 0.00576151084274864 6.01295244983845e-06 3.29676509503905e-09 1.33386712357111e-06
"69" 0.0119307318451939 0.0096933256487969 0.00597607475433658 6.11429349496137e-06 3.3843613934734e-09 1.39424394822209e-06
"70" 0.0120461402693125 0.00974381513606836 0.00607953591634481 6.27342497363649e-06 3.49790665459567e-09 1.43620772035549e-06
"71" 0.0124140977225295 0.00997060587671157 0.006188087942566 6.91274549617992e-06 3.89817909801086e-09 1.49419130755275e-06
"72" 0.0128802154247187 0.0102003984385353 0.00649237941253748 6.98705380534852e-06 3.92852624749729e-09 1.58604020374625e-06
"73" 0.0129231046277198 0.0102935484444747 0.00653692813441626 7.05639012901159e-06 4.39846562404021e-09 1.64919156020083e-06
"74" 0.0130700011056121 0.010322224267463 0.00671059418929302 7.16847408899009e-06 5.18074042614841e-09 1.73009783531105e-06
"75" 0.0132638575627726 0.0103961758424865 0.00682240585299203 7.7920552324062e-06 6.09485508163169e-09 1.83774834329655e-06
"76" 0.0134377967152912 0.0106006287408323 0.00699307632754183 8.21633632401665e-06 7.73341734599758e-09 2.06404487186173e-06
"77" 0.0135356016999938 0.0106806382003098 0.00714027668180488 8.56738526781781e-06 8.05501918496277e-09 2.10570600990547e-06
"78" 0.013565556436926 0.0107737665767452 0.00716548086036131 9.22038535376977e-06 8.61631954994065e-09 2.21576603697924e-06
"79" 0.0136314178511566 0.010875979465313 0.00755881605852618 9.43363148402907e-06 9.38694474709640e-09 2.50119731042863e-06
"80" 0.0137676594316836 0.010964886615105 0.00772094997069141 9.787173418301e-06 9.77815300700591e-09 2.5720656750046e-06
"81" 0.0139780828001318 0.0113579985575211 0.00799377504525361 1.04965425608251e-05 1.01917398899031e-08 2.6622481703198e-06
"82" 0.0142889720448426 0.0115247828064252 0.00804027162852834 1.10333056065844e-05 1.16190002722361e-08 2.74328039595502e-06
"83" 0.0143498184737283 0.0115898217497263 0.0081081208639663 1.10453890877204e-05 1.2691659231824e-08 2.84362758516144e-06
"84" 0.0145477395201365 0.0118758160728921 0.0081769265812312 1.16936678133471e-05 1.54941052186235e-08 2.92248874589515e-06
"85" 0.0147175005579028 0.0119938616784831 0.00825415557187469 1.22080727322455e-05 1.72855096072833e-08 3.08759323370187e-06
"86" 0.0149318675596887 0.0122434934256378 0.00839536450359205 1.23566275491041e-05 2.22768813185481e-08 3.19638993373089e-06
"87" 0.0152024820562199 0.0123196347175316 0.00850799582293392 1.31320152236067e-05 2.54086550218741e-08 3.25837486870689e-06
"88" 0.0155212168204888 0.0125348716500465 0.00852148406481841 1.33873475456531e-05 3.0540832498721e-08 3.40626124304905e-06
"89" 0.0155683980845332 0.012810434274735 0.00874664817682077 1.35517484974778e-05 3.17836369691077e-08 3.52752130402033e-06
"90" 0.015600288168676 0.0131479994635893 0.00888914268752857 1.39154913513781e-05 3.67792770077569e-08 3.56024274639323e-06
"91" 0.0156922424936115 0.0134143872794244 0.00911331683986584 1.43626265012083e-05 3.93116234116989e-08 3.72612002513056e-06
"92" 0.0159808328494428 0.0134745984580634 0.00930508208328929 1.45408050653722e-05 4.17608498579411e-08 3.81666075548381e-06
"93" 0.0160742070560827 0.0135302493958259 0.00930745929224434 1.52159758640382e-05 4.21171760721572e-08 4.04719150118768e-06
"94" 0.0161936734698004 0.0136419711381808 0.00967687087193665 1.54494178698304e-05 4.57701326132675e-08 4.0868048338039e-06
"95" 0.0164346448644098 0.0143220461311851 0.00986635183015255 1.55122808863916e-05 4.65981253539232e-08 4.20089344072542e-06
"96" 0.0164943643775433 0.0143842560608093 0.0101614828848868 1.60550333701596e-05 5.09345969216636e-08 4.32358247043826e-06
"97" 0.0165839689868839 0.0144896015115345 0.0101782368586815 1.65525604923866e-05 5.38228910382923e-08 4.81793799406972e-06
"98" 0.0166743602591031 0.0148523950488679 0.010351263719694 1.71068781576305e-05 7.06736695772926e-08 4.91611657254521e-06
"99" 0.0168287090954989 0.015196664089972 0.0105069003620728 1.73686852287048e-05 7.49373251022203e-08 5.11616478495746e-06
"100" 0.0169779156417284 0.0154399945808954 0.0108969855877074 1.76997265720767e-05 7.99880908111985e-08 5.20813632793948e-06
"101" 0.0171120767556225 0.0155848699021431 0.0109300497786568 1.91186631824375e-05 8.56903342358961e-08 5.56674165212696e-06
"102" 0.0172708576016365 0.0156273001875925 0.0111298174309268 1.95847833008917e-05 1.02440655459846e-07 5.74175312011975e-06
"103" 0.0173842481323786 0.0157141455580215 0.0113330563244124 2.05170339441469e-05 1.16163943514598e-07 5.8244016712617e-06
"104" 0.0174473188889469 0.0159211788953274 0.0115014438997997 2.158942712387e-05 1.17248580074811e-07 5.90256356843508e-06
"105" 0.0177880633891988 0.0162227789526117 0.0116247553780447 2.17990628628773e-05 1.25939287614106e-07 5.98180427323497e-06
"106" 0.0178521287201234 0.0164528041303245 0.0116501861713662 2.27936562478661e-05 1.45350701952525e-07 6.08763593791631e-06
"107" 0.0181783909573395 0.0165237312685867 0.0116757817132144 2.34337840181404e-05 1.51559146304746e-07 6.40338445358774e-06
"108" 0.0182104753457077 0.0167018227186068 0.0118428441339544 2.38067180618103e-05 1.68273841063415e-07 6.63275639281286e-06
"109" 0.0182914041971641 0.0167942392447604 0.0119342490872715 2.56856602695908e-05 1.69081402915454e-07 6.88111821183716e-06
"110" 0.0183901841386708 0.0169251412474424 0.012287523850664 2.62154769723075e-05 1.94660780929118e-07 7.15647214051735e-06
"111" 0.0186968741168927 0.0170148628034867 0.012483143759506 2.68387516608544e-05 1.97896682014821e-07 7.19709376366793e-06
"112" 0.0187584706057025 0.0174821527874158 0.012692869985243 2.8403187169541e-05 2.06799060384088e-07 7.38038051288289e-06
"113" 0.0188447859113172 0.0177678140041256 0.0127252911508113 3.08697906038058e-05 2.30331494589714e-07 7.43685660247647e-06
"114" 0.0190218385688473 0.0178457357739606 0.013006724425654 3.23567139050746e-05 2.44528114029354e-07 7.46215103225458e-06
"115" 0.0192401839544361 0.0181186848404163 0.0131059119145785 3.31828203965802e-05 2.64440685309622e-07 7.64902781191625e-06
"116" 0.0193018042929223 0.0183292121608511 0.0132053217395003 3.41083963640123e-05 2.72416632996579e-07 7.94882877840931e-06
"117" 0.0193700150256573 0.0183535762183865 0.0133724381083026 3.60644280734323e-05 2.84329677392567e-07 8.39084585593698e-06
