"rndall" "rndlen" "rndloc" "rndbinall" "rndbinlen" "rndbinloc"
"1" 0.000211176159180989 0.000173790277457985 1.45536023288006e-06 3.74068266292443e-08 1.64352640806786e-13 5.92392891774679e-09
"2" 0.000439860468447776 0.000368683095851372 2.833415650281e-06 5.60701481960594e-08 8.30781881223517e-13 1.36456996443559e-07
"3" 0.000826201566128908 0.000585074009188573 4.73021637958219e-06 1.30801086071751e-07 5.75653108242244e-12 2.45649410958569e-07
"4" 0.000901638296685233 0.000680060985368072 1.32604577686704e-05 5.80872669793226e-07 2.5157617836942e-11 2.82628100684954e-07
"5" 0.0010233461488473 0.00075662006126458 1.6531406457483e-05 7.32463201893999e-07 9.25039503680625e-11 4.0708737266366e-07
"6" 0.00118145959976515 0.000875131614813001 2.63483569860405e-05 7.85439377068614e-07 2.84051347577196e-10 6.3037107689855e-07
"7" 0.00142441614091714 0.000902880738966562 3.80401682445661e-05 8.98220400625986e-07 5.74117230789413e-10 9.84989572076575e-07
"8" 0.0016035938301541 0.00101512900975473 7.14485213917939e-05 1.78099527815244e-06 1.26599967829755e-09 1.99376732250072e-06
"9" 0.00166733389570542 0.00116232109355532 9.00589008353327e-05 2.57162828569885e-06 4.11164349230392e-09 2.98544961967073e-06
"10" 0.00173072985733173 0.00125573343370742 0.000155281074596551 2.80108700379635e-06 5.78908104063353e-09 4.09127589968e-06
"11" 0.00180563414439539 0.0015608621773208 0.00021718905270338 3.08617809868487e-06 9.50996233604384e-09 5.04718905482255e-06
"12" 0.00190000910331004 0.00172798399459193 0.000291819338538732 4.45366225536695e-06 1.27445136731121e-08 8.18825153073303e-06
"13" 0.00200912863993942 0.00182817209139079 0.000413680957954427 6.36163042964973e-06 1.32207106189514e-08 8.59192737906205e-06
"14" 0.00219431227461727 0.00194266711780451 0.000463347050571379 7.47048798833766e-06 1.40785529671361e-08 8.84796617194724e-06
"15" 0.00231562291353579 0.00203062435323113 0.000482963548435011 8.3961883418215e-06 1.73464472262094e-08 1.06939243592206e-05
"16" 0.00243454098921074 0.00210719249483022 0.000529548843591734 8.86440625496372e-06 2.10158994284666e-08 1.20413161526325e-05
