"rndall" "rndlen" "rndloc" "rndbinall" "rndbinlen" "rndbinloc"
"1" 0.000423825763667914 0.000127045674455263 0.000109291513490497 1.6665077476609e-05 8.17392976532928e-06 1.08497817114611e-05
"2" 0.000587412959690534 0.00020497051618176 0.00028834490831725 2.31762053639697e-05 4.77695266393964e-05 2.89718731422916e-05
"3" 0.000878907121599224 0.000315486918096682 0.000409378372742134 3.69572234032741e-05 7.63830219374174e-05 8.10820270301994e-05
"4" 0.000999817350805399 0.000449331977128212 0.000440458503745421 6.22885700740891e-05 0.000116143461761986 8.49026244241615e-05
"5" 0.00116487425932194 0.000718735932261594 0.000542941408853376 7.33864505753771e-05 0.000168400171517572 8.69961636979503e-05
"6" 0.00133109054747939 0.000889033923827 0.000648414178754505 0.000116171462691532 0.000190379445628631 9.97290337832585e-05
"7" 0.00149022210273599 0.0010098155455482 0.000719282960913368 0.000203711884898188 0.000206771631005829 0.000108267947483279
"8" 0.00149763306363249 0.00108008148001052 0.00093844274294972 0.000254888074024364 0.000289752759270337 0.000134140008084732
"9" 0.00174480821017929 0.00119501598264251 0.000963065567657753 0.000299332405308109 0.000313914748638512 0.000158757646516116
"10" 0.00204068842174976 0.00125276782369889 0.00116091389579007 0.00038385041536211 0.000348585159165533 0.000202270846848554
"11" 0.00227371771980772 0.00135603584907472 0.00121647233745308 0.000425010734983788 0.000391766704164917 0.000207833501276969
"12" 0.00231763101982314 0.00138972904698381 0.00129096098259366 0.000456577132752582 0.000430165447509878 0.000209064451172427
"13" 0.00244172083221082 0.00157137416968696 0.00135196183522655 0.000580605239287924 0.000457883236060114 0.000209611805744179
"14" 0.00281533311376282 0.00168670495084994 0.0014011224583192 0.000661897708877065 0.000478874413214993 0.000246819007098093
"15" 0.00287194541449188 0.00188612210116257 0.00162869332962694 0.000661897708877065 0.000528764243663729 0.000336694227205888
"16" 0.00322668438656075 0.00208021326377898 0.00180877047818201 0.00066414854434692 0.000585481339753615 0.000356565697592898
