"complete"	"bylength"	"bylocation"
0.000237599680136582	9.03437204917492e-05	1.14986474291034e-09
0.000668045458429296	0.000100940293251243	2.9613950075147e-09
0.00086046296260091	0.000124150068419154	4.58070960834767e-09
0.00120036092670274	0.000202186712240104	7.81052075297195e-09
0.00139625996771301	0.000327807650856855	2.20364395180509e-08
0.00155213085251727	0.000415559939305946	2.90750526697989e-07
0.00190688933698868	0.000655884737416248	2.95793434975906e-06
0.00274577156939329	0.000755360416995912	2.64607233253205e-05
0.00294735129083549	0.000822289211468683	6.71233780135396e-05
0.00314147923448743	0.000980993028175592	0.000243046458922566
0.00365681456365009	0.00109592567234477	0.000253528025557261
0.00384461560535777	0.00130290507380404	0.000546955138206392
0.00433756883377102	0.00153898172632839	0.000680981724900036
0.0047131721913945	0.00189263453811737	0.000721151718149476
0.00479036079930973	0.00206153115591123	0.00100809027797441
0.00496075629057403	0.00239118144132109	0.00101467802292995
0.00504593067187404	0.00255477983826933	0.00116594795671056
0.00515953205393975	0.00260362210824682	0.00126168782931533
0.00554948724814064	0.00271240162404441	0.00131251285548468
0.00614311745183778	0.00290257248167965	0.00133541974559434
0.0063158330323848	0.00307600782804215	0.00144381029780263
0.0063158330323848	0.00322983617083637	0.00168046403638913
0.00652060677856939	0.00336631150246346	0.00175685639074885
0.0067368621558808	0.0036487901506824	0.00189671106672383
0.00712023870657066	0.00380578096174978	0.00207756429486974
0.00751227604283513	0.00409993918072738	0.00213782427205631
0.00761489952799469	0.00438998808810505	0.00216082947083825
0.00803805708941326	0.00446676447404493	0.00222050653796797
0.00811162615242512	0.00478884761254282	0.00229284068875768
0.00836594934457725	0.00480157076173087	0.00248075559206311
0.00846921552366759	0.00482257869076044	0.00284680375776556
0.0086588340604088	0.00527932896205771	0.00296452965512442
0.00896973784585045	0.00535081154331444	0.00328257688869363
0.00907767005131597	0.00545700694920188	0.00339758481376383
0.00921103458167153	0.00563398076274813	0.00344343362162763
0.00937711160935506	0.00577531493695884	0.00355444599951454
0.00958399911366773	0.00610586321142911	0.00364316133087987
0.0097191149563332	0.00664508701699036	0.00370399025977584
0.010042117065413	0.00686354317977246	0.00421127916634445
0.0106987437470148	0.00702404240359339	0.00451677579865033
0.0108321871094251	0.00717779685953041	0.00459605356602787
0.0109262524492981	0.00720806791005368	0.00463299593825723
0.0109740695550532	0.0073199591812023	0.00499342886551517
0.0112462774030946	0.0076663152347518	0.00521888292574081
0.011300337462464	0.00785178500701283	0.00532319302168315
0.0113597012733931	0.00802059059874491	0.00551367112636986
0.0114411843160945	0.0083103715841183	0.00559514811172207
0.0116106131937051	0.00851662427761822	0.00593529092858727
0.0117342214087966	0.00860828465279233	0.00601201249837097
0.0119086941383088	0.00864944678486777	0.00618683835424028
0.0122592282994143	0.00897299497981359	0.00666949207570048
0.0124279902197482	0.00903994980396924	0.0067305065557437
0.0127335250654192	0.00922430679451495	0.00682979032802977
0.0129330016696238	0.00932010833225727	0.00694495050961522
0.0132563183898553	0.00946611739595577	0.00704844101602742
